Economy,"Check-in was quiet smooth however departure was little delayed by 15 minutes. During turbulence weather, they instruct not to use toilets and the same continues for more than half an hour despite that the turbulence weather is now clear.
Flight lands at Domestic Terminal in Mumbai however since flight takes-off from International Terminal from Delhi, passengers are transferred to International...",12 February 2018,New Delhi - Mumbai,ui_bubble_rating bubble_20,Domestic,Terrible Flight Experience,negative,-1.0
Economy,"Air India have nowadays got an authority of being late as always and minimum 30 minutes late is standard on their profile across all sectors.
Check-in was smooth however flight though arrived on time for departure it was delayed by ground staff for non-complaince of proper parking. As usual flight was delayed and finally when it was ready for departure,...",12 February 2018,Mumbai - New Delhi,ui_bubble_rating bubble_30,Domestic,Services Deterioration Started,neutral,0.0
Economy,"Good planes, Good food, good baggage allowance. What else can one ask for? On time service. The air hostesses were doing their job well, looking after small children's needs etc. - but if you pressed the button to call them, there was often no response.",12 February 2018,New Delhi - Bangkok,ui_bubble_rating bubble_40,Southeast Asia,Good planes. More baggage,positive,0.6
Business Class,"The airlines offers more than ten flights a day between Delhi and Mumbai. The leg space in business class is very good and seats very comfortable. The lounge at T3 and Mumbai both are very good and comfortable. The service offered is excellent and in flight services like magazines, meals etc are better than any other airlines.",12 February 2018,New Delhi - Mumbai,ui_bubble_rating bubble_50,Domestic,Still Best Indian Carrier,positive,1.0
Economy,"i am big fan of Air India , staff is not glamorous but they know there job , food on board is nice, ground staff is very precise and confident, aircraft is specious seats are comfortable and had more leg space then others flights.
in flight magazines are informative overall decent flight",12 February 2018,Kolkata - New Delhi,ui_bubble_rating bubble_50,Domestic,functional,neutral,0.0
Economy,luckly i got dreamliner air bus which was excellent.a very very comfortable and pleasing one.i would like to again on this flight.,12 February 2018,New Delhi - Kochi (Cochin),ui_bubble_rating bubble_50,Domestic,excellent flight,positive,1.0
Economy,I recently went to mumbai on official visit. My seat was upgraded to Business Class. Experience of my life time. Service was excellent. Value for money. They offered welcome drink on arrival and than variety of magazine to choose. Enough meal for one person.,12 February 2018,New Delhi - Mumbai,ui_bubble_rating bubble_40,Domestic,Punctual AIrline,neutral,0.0
Economy,Well priced flight with efficient service.In flight entertainment a little weak and the food very much for Asian palate.Overall for the price and the clean pleasant flight a good deal.I would use them again without a second thought.,11 February 2018,New Delhi - London,ui_bubble_rating bubble_40,International,Pleasant Flight,positive,0.733333333333
Economy,"Air career was old, white color is converted to yellow. also air bus 320 was not managed properly
however food was good(as compared to other flights) and crew members was also helpful and gentle.
Men are also there in crew members just like air hostess.. but over all a good flight but needed maintenance",11 February 2018,New Delhi - Bagdogra,ui_bubble_rating bubble_40,Domestic,Old Air Craft || Nice Food || Nice Crew Members,positive,0.433333333333
Business Class,Price was thousands less than other competitors that service this region. Flight went smooth both directions. Seats were broken. First seat I had would not lay down into a bed. The second seat would not return to seating position. Luckily flight was not full and I could change between seats. Staff was courteous and they certainty did a wonderful job...,11 February 2018,Chicago - Bengaluru,ui_bubble_rating bubble_30,International,Not bad for the price,positive,0.35
Economy,"Smooth flight, good ground service, great food however... never flown on a plane with visible rust, dirt everywhere and probably due to the pollution in the air - the plane looked awfully dirty (matte no shiny if you know what I mean) on the outside. Bad impression aesthetically.",11 February 2018,New Delhi - Goa,ui_bubble_rating bubble_30,Domestic,OK but plane condition scary.,neutral,0.0
Economy,Excellent service by the airlines. More leg room with comfortable seats. Good care for Wheelchair passengers. Had very comfortable journey for both ways. Chennai/Singapore and back,11 February 2018,Chennai - Singapore,ui_bubble_rating bubble_50,Southeast Asia,FLIGHT TO SINGAPORE,neutral,0.0
Economy,The flight departed & landed on time. The food was decent. The staff was courteous. The only thing that needs to change is the air hostess's uniform!,11 February 2018,Mumbai - Jaipur,ui_bubble_rating bubble_50,Domestic,"Punctual, Clean & Good Service",positive,0.533333333333
Economy,"I travelled in Air India once from Kolkata to Delhi in July 2017. It was a Boeing. I loved their environment, food and service. It was clean too. It's owned by the Indian government. Definitely will travel again and again.",10 February 2018,Kolkata - New Delhi,ui_bubble_rating bubble_50,Domestic,Good,positive,0.7
Economy,"I was looking forward to flying with air India but this was not a nice experience. I felt the two male stewards had a arrogant approach to customers and the plane was not cleaned from the previous flight. Headrest covers not exchanged, messy newspapers from previous passengers in the brochure pouch in most seats. When I opened my tray for...",10 February 2018,Madurai - Mumbai,ui_bubble_rating bubble_30,Domestic,What a disappointment,negative,-0.6
Economy,"Horrible service , flight delayed first for 50 mins then for 2 hrs 30 mins , staff non approachable ,as expected staff over d desk rude and not listening to the passengers , don’t know why I decided to take air India never have I experienced this attitude with d other domestic airlines ,
Was suppose to give surprise to...",10 February 2018,Mumbai - New Delhi,ui_bubble_rating bubble_10,Domestic,Horrible ,negative,-1.0
Economy,Seats and interior of the plane were very dirty. The head-rests were not changed when we boarded the plane nor when we landed and plane took addditional passengers from Chennai to Mumbai. The food tray holder had someone’s chewing gum attached to it. The pocket in front of me was broken. It was full of used newspapers and very stained...,10 February 2018,Madurai - Mumbai,ui_bubble_rating bubble_20,Domestic,"Plain very dirty, staff disinterested",negative,-0.497142857143
Business Class,I flew business class from Delhi to Trivandrum and I would say the service and equipment was barely economy class standards for business class. There was no boarding order so business class passengers ended up boarding with everyone else in the chaotic line. And the seat and equipment was really old. The food was not edible. I’m sad to say...,10 February 2018,New Delhi - Trivandrum,ui_bubble_rating bubble_10,Domestic,Horrible airline,negative,-1.0
Economy,"Flight was on time, plane was clean with good leg space. The ground staff at Bhubneshwar was helpful and check in was smooth.
The food was hot and tasty, though they were slow in serving the food.
Overall a nice experience and will fly again with them.",9 February 2018,Bhubaneswar - Mumbai,ui_bubble_rating bubble_40,Domestic,On time flight experience,neutral,0.0
Economy,"There is only 1 direct flight from Rajkot to Delhi and hence, a natural choice for a passenger flying between the 2 cities.
Flight scheduled to depart at 7.30 pm, got rescheduled to 8.15 pm and then again delayed to 8.45 pm and finally took off at 8.55 pm
Of late, most of the evening flight of Air India, Jet...",9 February 2018,Rajkot - New Delhi,ui_bubble_rating bubble_30,Domestic,Delayed by over an hour ,neutral,0.0
Economy,"Over the last one year Air India has really improved it's service quality. The flight was ontime. The boarding was hassle free.
The aircraft looked new and in good condition. They are clearly better than Jet Airways.",9 February 2018,Bengaluru - Hubli-Dharwad,ui_bubble_rating bubble_50,Domestic,Excellent service,positive,1.0
Economy,"This must be one of the rudest, worst airlines I have travelled in. We prebooked certain seats, and as we were standing at the counter to get our entry tickets the counter next door gave our pre-booked seats away- of course one knows when you see the same people sitting on the seats in the plane. The counter attendant's version...",9 February 2018,New Delhi - Colombo,ui_bubble_rating bubble_10,Asia,"One trip; but 2 times, a first and a last",positive,0.125
Economy,On 31 January 2018 my flight from Ktm to del was dallied because of bad weather and I missed flight of del to Birmingham and wait at Delhi airport almost 12 hours and I request to staff to provide me hotel but staffs were v rode . I never use this flight again also I never recommend to any other...,8 February 2018,Belfast - Kathmandu,ui_bubble_rating bubble_20,International,Never again ,neutral,0.0
Economy,"As soon as I boarded the plane, I can smell trouble. One of the flight steward who greeted us with no smile and was only leading us left or right of the plane was wearing slippers which should only be used in market shopping. Never have I seen a flight steward in my world travels wearing slippers. 8 hours through...",8 February 2018,San Francisco - New Delhi,ui_bubble_rating bubble_10,International,Need to clean airplane,positive,0.366666666667
Economy,We had a night flight for about 3 hours and first time air India in a airbus 321. The interior is super basic but lots of leg room. More than with some more premium airlines. They are efficient in timing. We where super surprised of the amount of food we received during the flight really a lot. Price quality super...,8 February 2018,Muscat Governorate - New Delhi,ui_bubble_rating bubble_30,International,Surprise in a good way,positive,0.7
Economy,"The only thing which I liked most is it’s connectivity from India. Where ever you want to go, you will definitely find a good deal for you. In flight entertainment is good but worst part is most LCD don’t work . Else everything is good . Indian airports are best in south Asian region and don’t let you down.",8 February 2018,New Delhi - Kochi (Cochin),ui_bubble_rating bubble_40,Domestic,Best Airlines to fly to and fro from India,positive,0.9
Economy,We were four friends travelling to Varanasi on Airindia flight fro Delhi to Varanasi via Bodhgaya. In Bodgaya aircraft broke down and crew told us 15 minutes technical snag. but it tool more then 90 minutes and we were kept in aircraft...,8 February 2018,New Delhi - Varanasi,ui_bubble_rating bubble_20,Domestic,As expected,negative,-0.1
